No;Kecamatan;"Jml Balita diukur
Diukur";Jumlah (stunting);Persen (stunting);tahun
1;TLANAKAN;4775;202;4,230366492;2024
2;PADEMAWU;5542;142;2,562251895;2024
3;GALIS;1999;29;1,450725363;2024
4;LARANGAN;4602;105;2,281616688;2024
5;PAMEKASAN;6159;295;4,789738594;2024
6;PROPPO;5694;232;4,074464348;2024
7;PALENGAAN;6188;44;0,711053652;2024
8;PEGANTENAN;4864;74;1,521381579;2024
9;KADUR;3349;335;10,00298597;2024
10;PAKONG;2111;209;9,90052108;2024
11;WARU;4353;54;1,240523777;2024
12;BATUMARMAR;5923;121;2,042883674;2024
13;PASEAN;3365;38;1,129271917;2024
14;TLANAKAN;3812;415;10,88667366;2023
15;PADEMAWU;4425;243;5,491525424;2023
16;GALIS;1866;74;3,965702036;2023
17;LARANGAN;3232;116;3,589108911;2023
18;PAMEKASAN;5063;141;2,784910132;2023
19;PROPPO;4527;260;5,743317871;2023
20;PALENGAAN;6074;38;0,625617386;2023
21;PEGANTENAN;3979;110;2,764513697;2023
22;KADUR;2645;168;6,351606805;2023
23;PAKONG;2183;5;0,229042602;2023
24;WARU;3420;64;1,871345029;2023
25;BATUMARMAR;5687;84;1,477052928;2023
26;PASEAN;1840;46;2,5;2023
27;TLANAKAN;2332;522;22,38;2022
28;PADEMAWU;4829;419;8,68;2022
29;GALIS;1570;79;5,03;2022
30;LARANGAN;3194;229;7,17;2022
31;PAMEKASAN;5421;229;4,22;2022
32;PROPPO;4670;505;10,81;2022
33;PALENGAAN;4520;170;3,76;2022
34;PEGANTENAN;3907;131;3,35;2022
35;KADUR;2588;260;10,05;2022
36;PAKONG;1985;19;0,96;2022
37;WARU;3518;106;3,01;2022
38;BATUMARMAR;3981;109;2,74;2022
39;PASEAN;2279;107;4,7;2022
40;TLANAKAN;3769;821;21,78;2021
41;PADEMAWU;2707;582;21,5;2021
42;GALIS;1474;96;6,51;2021
43;LARANGAN;3159;259;8,2;2021
44;PAMEKASAN;2788;230;8,25;2021
45;PROPPO;3151;676;21,45;2021
46;PALENGAAN;5242;122;2,33;2021
47;PEGANTENAN;2548;195;7,65;2021
48;KADUR;925;295;31,89;2021
49;PAKONG;1738;91;5,24;2021
50;WARU;3166;364;11,5;2021
51;BATUMARMAR;5092;430;8,44;2021
52;PASEAN;2084;67;3,21;2021
53;TLANAKAN;4445;1074;24,16197975;2020
54;PADEMAWU;4538;877;19,32569414;2020
55;GALIS;1704;105;6,161971831;2020
56;LARANGAN;2327;334;14,35324452;2020
57;PAMEKASAN;3732;814;21,8113612;2020
58;PROPPO;4255;1267;29,77673325;2020
59;PALENGAAN;3600;397;11,02777778;2020
60;PEGANTENAN;4242;738;17,39745403;2020
61;KADUR;2128;635;29,84022556;2020
62;PAKONG;2196;71;3,233151184;2020
63;WARU;3072;367;11,94661458;2020
64;BATUMARMAR;6077;655;10,77834458;2020
65;PASEAN;3253;381;11,7122656;2020
