No;Kecamatan;"Jml Balita diukur
Diukur";Jumlah (stunting);Persen (stunting);tahun
1;SRESEH;1724;257;14,91;2020
2;TORJUN;2047;266;12,99;2020
3;PANGARENGAN;1348;149;11,05;2020
4;SAMPANG;9286;689;7,42;2020
5;CAMPLONG;5130;322;6,28;2020
6;OMBEN;4556;462;10,14;2020
7;KEDUNGDUNG;4689;358;7,63;2020
8;JRENGIK;2406;464;19,29;2020
9;TAMBELANGAN;2941;274;9,32;2020
10;BANYUATES;4852;594;12,24;2020
11;ROBATAL;3345;256;7,65;2020
12;KARANG PENANG;3272;71;2,17;2020
13;KETAPANG;5312;103;1,94;2020
14;SOKOBANAH;4601;165;3,59;2020
15;SRESEH;1664;30;1,8;2021
16;TORJUN;2006;123;6,13;2021
17;PANGARENGAN;1120;89;7,95;2021
18;SAMPANG;7406;349;4,71;2021
19;CAMPLONG;5698;65;1,14;2021
20;OMBEN;4812;328;6,82;2021
21;KEDUNGDUNG;4701;291;6,19;2021
22;JRENGIK;2056;318;15,47;2021
23;TAMBELANGAN;2905;218;7,5;2021
24;BANYUATES;2530;352;13,91;2021
25;ROBATAL;2906;213;7,33;2021
26;KARANG PENANG;1844;34;1,84;2021
27;KETAPANG;3369;96;2,85;2021
28;SOKOBANAH;2308;188;8,15;2021
29;SRESEH;2218;35;1,58;2022
30;TORJUN;2435;55;2,26;2022
31;PANGARENGAN;1726;126;7,3;2022
32;SAMPANG;8900;785;8,82;2022
33;CAMPLONG;7097;128;1,8;2022
34;OMBEN;5794;278;4,8;2022
35;KEDUNGDUNG;5674;291;5,13;2022
36;JRENGIK;2218;223;10,05;2022
37;TAMBELANGAN;3297;111;3,37;2022
38;BANYUATES;4604;289;6,28;2022
39;ROBATAL;3678;203;5,52;2022
40;KARANG PENANG;3949;52;1,32;2022
41;KETAPANG;6468;72;1,11;2022
42;SOKOBANAH;4914;266;5,41;2022
43;SRESEH;1879;154;8,2;2023
44;TORJUN;2499;128;5,12;2023
45;PANGARENGAN;1723;143;8,3;2023
46;SAMPANG;8479;619;7,3;2023
47;CAMPLONG;5648;116;2,05;2023
48;OMBEN;5189;298;5,74;2023
49;KEDUNGDUNG;5919;312;5,27;2023
50;JRENGIK;2191;267;12,19;2023
51;TAMBELANGAN;3464;108;3,12;2023
52;BANYUATES;5169;278;5,38;2023
53;ROBATAL;4262;101;2,37;2023
54;KARANG PENANG;3002;96;3,2;2023
55;KETAPANG;7097;124;1,75;2023
56;SOKOBANAH;5019;195;3,89;2023
57;SRESEH;2285;89;3,89;2024
58;TORJUN;3287;151;4,59;2024
59;PANGARENGAN;1702;44;2,59;2024
60;SAMPANG;8938;446;4,99;2024
61;CAMPLONG;6397;103;1,61;2024
62;OMBEN;5254;239;4,55;2024
63;KEDUNGDUNG;5789;193;3,33;2024
64;JRENGIK;2450;225;9,18;2024
65;TAMBELANGAN;3643;78;2,14;2024
66;BANYUATES;5041;155;3,07;2024
67;ROBATAL;4456;70;1,57;2024
68;KARANG PENANG;5183;134;2,59;2024
69;KETAPANG;7507;106;1,41;2024
70;SOKOBANAH;5130;189;3,68;2024
