Kecamatan,Tahun,Prediksi Prevalensi (%)
Banyuates,2025,2.5356529
Banyuates,2026,1.2486652
Banyuates,2027,1.0147618
Camplong,2025,0.64550024
Camplong,2026,0.834815
Camplong,2027,0.6783315
Jrengik,2025,4.992399
Jrengik,2026,5.0793633
Jrengik,2027,5.088208
Karang Penang,2025,1.4120151
Karang Penang,2026,1.1226354
Karang Penang,2027,0.9523493
Kedungdung,2025,6.8180556
Kedungdung,2026,6.721802
Kedungdung,2027,6.843444
Ketapang,2025,1.467649
Ketapang,2026,1.1303644
Ketapang,2027,0.9354159
Omben,2025,5.4627376
Omben,2026,5.242175
Omben,2027,5.403574
Pangarengan,2025,6.756272
Pangarengan,2026,6.8324485
Pangarengan,2027,6.682689
Robatal,2025,2.6771939
Robatal,2026,2.1323972
Robatal,2027,1.8534133
Sampang,2025,4.63515
Sampang,2026,6.2461944
Sampang,2027,5.107647
Sokobanah,2025,6.48576
Sokobanah,2026,4.592489
Sokobanah,2027,2.1960955
Sreseh,2025,2.0018797
Sreseh,2026,2.1616437
Sreseh,2027,2.5154498
Tambelangan,2025,2.284686
Tambelangan,2026,1.883038
Tambelangan,2027,1.845191
Torjun,2025,5.537521
Torjun,2026,4.2837605
Torjun,2027,5.585385
Batu Marmar,2025,0.53286666
Batu Marmar,2026,0.19739166
Batu Marmar,2027,0.07950066
Galis,2025,4.5849366
Galis,2026,2.440221
Galis,2027,1.9954886
Kadur,2025,-0.07459836
Kadur,2026,1.4659088
Kadur,2027,2.7428424
Larangan,2025,1.2524105
Larangan,2026,-2.212159
Larangan,2027,-0.97628856
Pademawu,2025,4.4568133
Pademawu,2026,3.5544853
Pademawu,2027,3.0749912
Pakong,2025,0.49405614
Pakong,2026,5.4495025
Pakong,2027,0.20271203
Palenggaan,2025,3.0092876
Palenggaan,2026,4.0568347
Palenggaan,2027,7.001944
Pamekasan,2025,4.9704804
Pamekasan,2026,4.8789043
Pamekasan,2027,4.641981
Pasean,2025,2.1571317
Pasean,2026,1.9136901
Pasean,2027,1.7925298
Pegantenan,2025,1.2201264
Pegantenan,2026,1.2277803
Pegantenan,2027,1.144253
Proppo,2025,1.9747219
Proppo,2026,0.96087545
Proppo,2027,-0.0061535984
Tlanakan,2025,15.580278
Tlanakan,2026,14.27215
Tlanakan,2027,15.320918
Waru,2025,-0.8162787
Waru,2026,-0.6895957
Waru,2027,-0.27540046
Arosbaya,2025,3.962491
Arosbaya,2026,3.2173254
Arosbaya,2027,2.1790884
Bangkalan,2025,2.543188
Bangkalan,2026,1.6817045
Bangkalan,2027,1.1886418
Blega,2025,0.95720005
Blega,2026,0.51716214
Blega,2027,0.57095766
Burneh,2025,4.2160115
Burneh,2026,1.7734976
Burneh,2027,2.2937343
Galis,2025,1.8192592
Galis,2026,2.0909262
Galis,2027,2.1952393
Geger,2025,1.2086319
Geger,2026,6.001844
Geger,2027,7.8820224
Kamal,2025,-0.08212031
Kamal,2026,-0.14386103
Kamal,2027,-0.1455895
Klampis,2025,2.0336049
Klampis,2026,2.518609
Klampis,2027,1.8790824
Kokop,2025,3.3793173
Kokop,2026,3.5462058
Kokop,2027,3.61429
Konang,2025,0.47307366
Konang,2026,0.32295352
Konang,2027,0.30473742
Kwanyar,2025,2.1371574
Kwanyar,2026,1.8919986
Kwanyar,2027,1.7702284
Labang,2025,4.71829
Labang,2026,4.804526
Labang,2027,4.8444824
Modung,2025,5.4586964
Modung,2026,6.290309
Modung,2027,6.7044325
Sepulu,2025,3.7931833
Sepulu,2026,3.6746888
Sepulu,2027,3.7118134
Socah,2025,1.2329683
Socah,2026,0.9967845
Socah,2027,0.84614545
Tanah Merah,2025,2.3468888
Tanah Merah,2026,7.0176115
Tanah Merah,2027,7.216378
Tanjung Bumi,2025,4.7463765
Tanjung Bumi,2026,4.488149
Tanjung Bumi,2027,4.512488
Tragah,2025,4.1577816
Tragah,2026,7.4377847
Tragah,2027,8.515685
